Genre,Ranks,Product,Author,Links,Price,Rating,Reviews
All,36,T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profit Organizations and Partnership Firms -(Vol. 1) Textbook for CBSE Class 12 (2022-23 Session),T.S. Grewal,https://amazon.in/Grewals-Double-Entry-Keeping-Profit/dp/9390851556/ref=zg_bs_books_36/259-4875650-4938338?pd_rd_i=9390851556&psc=1,485.00,4.4,NA
All,37,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,https://amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_37/259-4875650-4938338?pd_rd_i=9387779319&psc=1,140.00,4.4,NA
All,38,How to Win Friends and Influence People,Dale Carnegie,https://amazon.in/How-Win-Friends-Influence-People/dp/8129140179/ref=zg_bs_books_38/259-4875650-4938338?pd_rd_i=8129140179&psc=1,84.00,4.5,"64,743"
All,39,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,https://amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_books_39/259-4875650-4938338?pd_rd_i=8186775218&psc=1,231.00,4.5,"10,385"
All,40,101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,https://amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_books_40/259-4875650-4938338?pd_rd_i=935376517X&psc=1,162.00,4.5,NA
All,41,"MTG Objective NCERT at your FINGERTIPS - Chemistry, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,https://amazon.in/MTG-Objective-NCERT-your-FINGERTIPS/dp/939119172X/ref=zg_bs_books_41/259-4875650-4938338?pd_rd_i=939119172X&psc=1,495.00,4.5,NA
All,42,Indian Polity For Civil Services and Other State Examinations| 6th Revised Edition,M Laxmikanth,https://amazon.in/Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_42/259-4875650-4938338?pd_rd_i=9354600352&psc=1,649.00,4.4,"1,086"
All,43,Very First Sight Words Sentences Level 1,Dreamland Publications,https://amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996/ref=zg_bs_books_43/259-4875650-4938338?pd_rd_i=9387971996&psc=1,175.00,4.5,"9,238"
All,44,"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",Sadhguru,https://amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=zg_bs_books_44/259-4875650-4938338?pd_rd_i=0143452673&psc=1,160.00,4.7,"8,175"
All,45,Oswaal CBSE Term 2 Mathematics Standard Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-Mathematics-Standard-Sample-Question/dp/9354639135/ref=zg_bs_books_45/259-4875650-4938338?pd_rd_i=9354639135&psc=1,123.00,4.4,103
All,46,As a Man Thinketh,James Allen,https://amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_46/259-4875650-4938338?pd_rd_i=9386538172&psc=1,69.00,4.4,"7,740"
All,47,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,https://amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=zg_bs_books_47/259-4875650-4938338?pd_rd_i=0349413681&psc=1,281.00,4.5,"10,949"
All,48,"Oswal - Gurukul 36 Sample Question Papers Commerce CBSE Class 12 Term II Exam 2022 : Solved New SQP Pattern (Accountancy, Business Studies, Economics, Mathematics, English, Physical Education)",Oswal - Gurukul,https://amazon.in/Oswal-Accountancy-Economics-Mathematics-Education/dp/9392563663/ref=zg_bs_books_48/259-4875650-4938338?pd_rd_i=9392563663&psc=1,342.00,4.4,33
All,49,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,https://amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_49/259-4875650-4938338?pd_rd_i=0143442295&psc=1,214.00,4.6,"14,983"
All,50,"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,https://amazon.in/Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_books_50/259-4875650-4938338?pd_rd_i=1760630721&psc=1,353.00,4.5,NA
All,51,Introductory Macro Economics for Class 12 - CBSE - by Sandeep Garg Examination 2022-23,Sandeep Garg,https://amazon.in/Introductory-Macro-Economics-Class-Examination/dp/B09RV2Z55D/ref=zg_bs_books_1/259-2992512-9024531?pd_rd_i=B09RV2Z55D&psc=1,449.00,4.8,20
All,52,A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,https://amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167/ref=zg_bs_books_2/259-2992512-9024531?pd_rd_i=9352832167&psc=1,535.00,4.4,"11,186"
